name,org,org_url,role,email
Marguerite Spoerri-Butcher,,,chair,
Eleanor Ghey,British Museum,https://www.britishmuseum.org/,,
Ethan Gruber,American Numismatic Society,https://numismatics.org/,,
Karsten Tolle,Goethe University Frankfurt,https://www.goethe-university-frankfurt.de/,,
Kris Lockyear,University College London,https://www.ucl.ac.uk/,,
Mario Schlapke,,,,
Rahel Ackermann,Swiss Inventory of Coin Finds,https://www.coinfinds.ch/,,
Vincent Drost,,,,
David Wigg-Wolf,DAI RGK,http://www.dainst.org/en/department/rgk,,
Andrew Meadows,"New College, Oxford University",http://www.new.ox.ac.uk/,,
